TITLE,CODE,CATEGORY,REGION,ADDRESS,CITY,STATE,GPS,FILENAME,,
Cynthiana 9/11 Memorial,911210,911,,111 S Main St,Cynthiana,KY,"38.389739, -84.298055",911210.jpg,,
Newport 9/11 Memorial ,911215,911,,403 York St,Newport,KY,"39.092254, -84.495982",911215.jpg,,
Livingston 9/11 Memorial ,911292,911,,S Upper River Rd and S Daniel Boone Trail,Livingston,KY,"37.298260, -84.215028",911292.jpg,,
Lafayette 9/11 Memorial ,911149,911,,215 Polk St,Lafayette,LA,"30.225034, -92.017655",911149.jpg,,
Lake Charles 9/11 Memorial ,911150,911,,Bord du Lac Dr,Lake Charles,LA,"30.225434, -93.223520",911150.jpg,,
"""Freedom Towers"" Memorial",911155,911,,Little Bayou Black Dr,Houma,LA,"29.589200, -90.738167",911155.jpg,,
9/11 Liberty Garden Memorial - Bossier City Fire Station 1 and Police Dept,911293,911,,2500 Beckett St,Bossier City,LA,"32.52575, -93.71316",911293.jpg,,
9/11 Memorial - Fire District 12 Firehouse,911294,911,,19375 LA-36,Covington,LA,"30.479705, -90.082783",911294.jpg,,
* 9-11 Memorial - Heritage Park,911470,911,,1701 Bayou Lane,Slidell*,LA,"30.278873, -89.783451",911470.jpg,,
9/11 Community Memorial,911056,911,,399 Main Street,Falmouth,MA,"41.552117, -70.611304",911056.jpg,,
9/11 Memorial - near Terminal A of Boston Logan International Airport,911127,911,,Logan Memorial Way,Boston,MA,"42.366257, -71.022571",911127.jpg,,
9/11 Memorial Pavilion,911295,911,,Main and Chandler Streets,Tewksbury,MA,"42.606583, -71.225868",911295.jpg,,
9/11 Memorial Flag Pole Plaque - Bridgewater's Central Square,911296,911,,School St and Central Square,Bridgewater,MA,"41.988882, -70.976575",911296.jpg,,
9/11 Eternal Flame Memorial - West Springfield Town Common,911297,911,,Park St. and Elm St.,West Springfield,MA,"42.104594, -72.621555",911297.jpg,,
9/11 Memorial -  Agawam Fire Department,911298,911,,800 Main Street,Agawam,MA,"42.066261, -72.616285",911298.jpg,,
Ludlow 9/11 Memorial,911299,911,,574 Center Street,Ludlow,MA,"42.175692, -72.473091",911299.jpg,,
Westfield 9/11 Memorial Obelisk ,911331,911,,96-90 US-202,Westfield,MA,"42.131792, -72.743603",911331.jpg,,
First Responders 9/11 Memorial,911332,911,,1212 Carew St,Springfield,MA,"42.133713, -72.571930",911332.jpg,,
